"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"148","MZ",24,0.0939177530235935,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_004.OME","E16.5","Elfn1-/-::SSTcre"
"149","SVZ",38,0.28175325907078,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_004.OME","E16.5","Elfn1-/-::SSTcre"
"150","All",62,0.375671012094374,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_004.OME","E16.5","Elfn1-/-::SSTcre"
"151","MZ",12,0.0599472792564151,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_005.OME","E16.5","Elfn1-/-::SSTcre"
"152","SVZ",27,0.179506936767813,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_005.OME","E16.5","Elfn1-/-::SSTcre"
"153","All",39,0.239454216024228,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_005.OME","E16.5","Elfn1-/-::SSTcre"
"154","MZ",12,0.071183207854475,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_006.OME","E16.5","Elfn1-/-::SSTcre"
"155","SVZ",28,0.214005926177877,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_006.OME","E16.5","Elfn1-/-::SSTcre"
"156","All",40,0.285189134032352,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_006.OME","E16.5","Elfn1-/-::SSTcre"
"157","MZ",29,0.083578731169995,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_007.OME","E16.5","Elfn1-/-::SSTcre"
"158","SVZ",27,0.251242731274651,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_007.OME","E16.5","Elfn1-/-::SSTcre"
"159","All",56,0.334821462444646,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_007.OME","E16.5","Elfn1-/-::SSTcre"
"160","MZ",19,0.0774039939560835,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_008.OME","E16.5","Elfn1-/-::SSTcre"
"161","SVZ",32,0.23221198186825,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_008.OME","E16.5","Elfn1-/-::SSTcre"
"162","All",51,0.309615975824334,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_008.OME","E16.5","Elfn1-/-::SSTcre"
"163","MZ",19,0.0798728422760186,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_009.OME","E16.5","Elfn1-/-::SSTcre"
"164","SVZ",21,0.239618526828056,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_009.OME","E16.5","Elfn1-/-::SSTcre"
"165","All",40,0.319491369104074,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_009.OME","E16.5","Elfn1-/-::SSTcre"
"166","MZ",16,0.0947686108803579,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_010.OME","E16.5","Elfn1-/-::SSTcre"
"167","SVZ",30,0.284869931515362,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_010.OME","E16.5","Elfn1-/-::SSTcre"
"168","All",46,0.379638542395719,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_010.OME","E16.5","Elfn1-/-::SSTcre"
"169","MZ",27,0.105148448793506,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_011.OME","E16.5","Elfn1-/-::SSTcre"
"170","SVZ",19,0.316063866667539,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_011.OME","E16.5","Elfn1-/-::SSTcre"
"171","All",46,0.421212315461045,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_011.OME","E16.5","Elfn1-/-::SSTcre"
"172","MZ",28,0.0887592310359037,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_012.OME","E16.5","Elfn1-/-::SSTcre"
"173","SVZ",34,0.265201823640609,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_012.OME","E16.5","Elfn1-/-::SSTcre"
"174","All",62,0.353961054676513,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_012.OME","E16.5","Elfn1-/-::SSTcre"
"175","MZ",20,0.0910344647143857,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_013.OME","E16.5","Elfn1-/-::SSTcre"
"176","SVZ",16,0.273103394143157,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_013.OME","E16.5","Elfn1-/-::SSTcre"
"177","All",36,0.364137858857543,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_013.OME","E16.5","Elfn1-/-::SSTcre"
"178","MZ",28,0.0861020009026628,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_014.OME","E16.5","Elfn1-/-::SSTcre"
"179","SVZ",24,0.258840797744651,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_014.OME","E16.5","Elfn1-/-::SSTcre"
"180","All",52,0.344942798647314,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_014.OME","E16.5","Elfn1-/-::SSTcre"
"181","MZ",21,0.082395065443057,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_015.OME","E16.5","Elfn1-/-::SSTcre"
"182","SVZ",15,0.246673425736357,"240116_elfn1_M85-124-B5","240116_elfn1_M85-124-B5_015.OME","E16.5","Elfn1-/-::SSTcre"
