"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"104",34,0.42811,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"105",22,0.50012,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_007","Mafb+/fl","P21"
"106",0,0.14032,"RCE","L1","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"107",18,0.33577,"RCE","L23","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"108",19,0.21884,"RCE","L4","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"109",54,0.4477,"RCE","L5","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"110",35,0.43433,"RCE","L6","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"111",0,0.14032,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"112",2,0.33577,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"113",0,0.21884,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"114",19,0.4477,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"115",10,0.43433,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"116",1,0.14032,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"117",8,0.33577,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"118",12,0.21884,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"119",16,0.4477,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"120",8,0.43433,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_008","Mafb+/fl","P21"
"121",2,0.13727,"RCE","L1","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"122",16,0.39069,"RCE","L23","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"123",24,0.24286,"RCE","L4","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"124",58,0.33262,"RCE","L5","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"125",43,0.54028,"RCE","L6","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"126",0,0.13727,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"127",4,0.39069,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"128",1,0.24286,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"129",23,0.33262,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"130",12,0.54028,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"131",2,0.13727,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"132",41,0.39069,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"133",67,0.24286,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"134",25,0.33262,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"135",19,0.54028,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_009","Mafb+/fl","P21"
"136",8,0.19095,"RCE","L1","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"137",19,0.40179,"RCE","L23","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"138",28,0.28443,"RCE","L4","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"139",45,0.362,"RCE","L5","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"140",48,0.51118,"RCE","L6","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"141",3,0.19095,"RCE_Calb","L1","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"142",6,0.40179,"RCE_Calb","L23","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"143",2,0.28443,"RCE_Calb","L4","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"144",19,0.362,"RCE_Calb","L5","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"145",21,0.51118,"RCE_Calb","L6","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"146",19,0.19095,"CalbnegRCE","L1","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"147",135,0.40179,"CalbnegRCE","L23","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"148",101,0.28443,"CalbnegRCE","L4","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"149",53,0.362,"CalbnegRCE","L5","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"150",17,0.51118,"CalbnegRCE","L6","171215_M83-154-2","171215_M83-153-2_010","Mafb+/fl","P21"
"151",3,0.1042,"RCE","L1","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"152",11,0.33056,"RCE","L23","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"153",17,0.21738,"RCE","L4","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"154",68,0.41321,"RCE","L5","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"155",43,0.54795,"RCE","L6","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
"156",0,0.1042,"RCE_Calb","L1","171215_M83-154-3","171215_M83-153-3_001","Mafb+/fl","P21"
