"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"129","All",26,0,"091115-B5","091115-B5-s008","E16.5","Mafb-fl/fl::SSTcre"
"130","MZ",5,0,"091115-B5","091115-B5-s010","E16.5","Mafb-fl/fl::SSTcre"
"131","SVZ",16,0,"091115-B5","091115-B5-s010","E16.5","Mafb-fl/fl::SSTcre"
"132","All",23,0,"091115-B5","091115-B5-s010","E16.5","Mafb-fl/fl::SSTcre"
"133","MZ",3,0,"091115-B5","091115-B5-s012","E16.5","Mafb-fl/fl::SSTcre"
"134","SVZ",13,0,"091115-B5","091115-B5-s012","E16.5","Mafb-fl/fl::SSTcre"
"135","All",17,0,"091115-B5","091115-B5-s012","E16.5","Mafb-fl/fl::SSTcre"
"136","MZ",11,0,"091115-B5","091115-B5-s014","E16.5","Mafb-fl/fl::SSTcre"
"137","SVZ",27,0,"091115-B5","091115-B5-s014","E16.5","Mafb-fl/fl::SSTcre"
"138","All",41,0,"091115-B5","091115-B5-s014","E16.5","Mafb-fl/fl::SSTcre"
"139","MZ",6,0,"091115-B5","091115-B5-s016","E16.5","Mafb-fl/fl::SSTcre"
"140","SVZ",13,0,"091115-B5","091115-B5-s016","E16.5","Mafb-fl/fl::SSTcre"
"141","All",19,0,"091115-B5","091115-B5-s016","E16.5","Mafb-fl/fl::SSTcre"
"142","MZ",3,0,"091115-B5","091115-B5-s018","E16.5","Mafb-fl/fl::SSTcre"
"143","SVZ",12,0,"091115-B5","091115-B5-s018","E16.5","Mafb-fl/fl::SSTcre"
"144","All",17,0,"091115-B5","091115-B5-s018","E16.5","Mafb-fl/fl::SSTcre"
"145","MZ",6,0,"091115-B5","091115-B5-s020","E16.5","Mafb-fl/fl::SSTcre"
"146","SVZ",8,0,"091115-B5","091115-B5-s020","E16.5","Mafb-fl/fl::SSTcre"
"147","All",18,0,"091115-B5","091115-B5-s020","E16.5","Mafb-fl/fl::SSTcre"
"148","MZ",6,0,"091115-B5","091115-B5-s022","E16.5","Mafb-fl/fl::SSTcre"
"149","SVZ",8,0,"091115-B5","091115-B5-s022","E16.5","Mafb-fl/fl::SSTcre"
"150","All",17,0,"091115-B5","091115-B5-s022","E16.5","Mafb-fl/fl::SSTcre"
"151","MZ",7,0,"091115-B5","091115-B5-s024","E16.5","Mafb-fl/fl::SSTcre"
"152","SVZ",11,0,"091115-B5","091115-B5-s024","E16.5","Mafb-fl/fl::SSTcre"
"153","All",21,0,"091115-B5","091115-B5-s024","E16.5","Mafb-fl/fl::SSTcre"
"154","MZ",5,0,"091115-B5","091115-B5-s026","E16.5","Mafb-fl/fl::SSTcre"
"155","SVZ",18,0,"091115-B5","091115-B5-s026","E16.5","Mafb-fl/fl::SSTcre"
"156","All",23,0,"091115-B5","091115-B5-s026","E16.5","Mafb-fl/fl::SSTcre"
"157","MZ",6,0,"091115-B5","091115-B5-s028","E16.5","Mafb-fl/fl::SSTcre"
"158","SVZ",11,0,"091115-B5","091115-B5-s028","E16.5","Mafb-fl/fl::SSTcre"
"159","All",18,0,"091115-B5","091115-B5-s028","E16.5","Mafb-fl/fl::SSTcre"
"160","MZ",8,0,"091115-B5","091115-B5-s030","E16.5","Mafb-fl/fl::SSTcre"
"161","SVZ",17,0,"091115-B5","091115-B5-s030","E16.5","Mafb-fl/fl::SSTcre"
"162","All",27,0,"091115-B5","091115-B5-s030","E16.5","Mafb-fl/fl::SSTcre"
"163","MZ",13,0,"091115-B5","091115-B5-s032","E16.5","Mafb-fl/fl::SSTcre"
"164","SVZ",11,0,"091115-B5","091115-B5-s032","E16.5","Mafb-fl/fl::SSTcre"
"165","All",28,0,"091115-B5","091115-B5-s032","E16.5","Mafb-fl/fl::SSTcre"
"166","MZ",6,0,"091115-B5","091115-B5-s034","E16.5","Mafb-fl/fl::SSTcre"
"167","SVZ",10,0,"091115-B5","091115-B5-s034","E16.5","Mafb-fl/fl::SSTcre"
"168","All",17,0,"091115-B5","091115-B5-s034","E16.5","Mafb-fl/fl::SSTcre"
"169","MZ",6,0,"091115-B5","091115-B5-s036","E16.5","Mafb-fl/fl::SSTcre"
"170","SVZ",9,0,"091115-B5","091115-B5-s036","E16.5","Mafb-fl/fl::SSTcre"
"171","All",17,0,"091115-B5","091115-B5-s036","E16.5","Mafb-fl/fl::SSTcre"
"172","MZ",8,0,"091115-B5","091115-B5-s038","E16.5","Mafb-fl/fl::SSTcre"
"173","SVZ",12,0,"091115-B5","091115-B5-s038","E16.5","Mafb-fl/fl::SSTcre"
"174","All",20,0,"091115-B5","091115-B5-s038","E16.5","Mafb-fl/fl::SSTcre"
"175","MZ",19,0,"111115-B2","111115-B1-s002","E16.5","Mafb+/+::SSTcre"
"176","SVZ",29,0,"111115-B2","111115-B1-s002","E16.5","Mafb+/+::SSTcre"
"177","All",57,0,"111115-B2","111115-B1-s002","E16.5","Mafb+/+::SSTcre"
"178","MZ",23,0,"111115-B2","111115-B1-s004","E16.5","Mafb+/+::SSTcre"
"179","SVZ",39,0,"111115-B2","111115-B1-s004","E16.5","Mafb+/+::SSTcre"
"180","All",68,0,"111115-B2","111115-B1-s004","E16.5","Mafb+/+::SSTcre"
"181","MZ",31,0,"111115-B2","111115-B1-s006","E16.5","Mafb+/+::SSTcre"
"182","SVZ",58,0,"111115-B2","111115-B1-s006","E16.5","Mafb+/+::SSTcre"
"183","All",101,0,"111115-B2","111115-B1-s006","E16.5","Mafb+/+::SSTcre"
"184","MZ",23,0,"111115-B2","111115-B1-s008","E16.5","Mafb+/+::SSTcre"
"185","SVZ",27,0,"111115-B2","111115-B1-s008","E16.5","Mafb+/+::SSTcre"
"186","All",53,0,"111115-B2","111115-B1-s008","E16.5","Mafb+/+::SSTcre"
"187","MZ",27,0,"111115-B2","111115-B1-s010","E16.5","Mafb+/+::SSTcre"
"188","SVZ",42,0,"111115-B2","111115-B1-s010","E16.5","Mafb+/+::SSTcre"
"189","All",74,0,"111115-B2","111115-B1-s010","E16.5","Mafb+/+::SSTcre"
"190","MZ",21,0,"111115-B2","111115-B1-s012","E16.5","Mafb+/+::SSTcre"
"191","SVZ",28,0,"111115-B2","111115-B1-s012","E16.5","Mafb+/+::SSTcre"
"192","All",55,0,"111115-B2","111115-B1-s012","E16.5","Mafb+/+::SSTcre"
"193","MZ",21,0,"111115-B2","111115-B1-s014","E16.5","Mafb+/+::SSTcre"
"194","SVZ",29,0,"111115-B2","111115-B1-s014","E16.5","Mafb+/+::SSTcre"
"195","All",53,0,"111115-B2","111115-B1-s014","E16.5","Mafb+/+::SSTcre"
"196","MZ",26,0,"111115-B2","111115-B1-s016","E16.5","Mafb+/+::SSTcre"
"197","SVZ",28,0,"111115-B2","111115-B1-s016","E16.5","Mafb+/+::SSTcre"
"198","All",57,0,"111115-B2","111115-B1-s016","E16.5","Mafb+/+::SSTcre"
"199","MZ",25,0,"111115-B2","111115-B1-s018","E16.5","Mafb+/+::SSTcre"
"200","SVZ",32,0,"111115-B2","111115-B1-s018","E16.5","Mafb+/+::SSTcre"
"201","All",61,0,"111115-B2","111115-B1-s018","E16.5","Mafb+/+::SSTcre"
"202","MZ",30,0,"111115-B2","111115-B1-s020","E16.5","Mafb+/+::SSTcre"
"203","SVZ",27,0,"111115-B2","111115-B1-s020","E16.5","Mafb+/+::SSTcre"
"204","All",62,0,"111115-B2","111115-B1-s020","E16.5","Mafb+/+::SSTcre"
"205","MZ",24,0,"111115-B2","111115-B1-s022","E16.5","Mafb+/+::SSTcre"
"206","SVZ",44,0,"111115-B2","111115-B1-s022","E16.5","Mafb+/+::SSTcre"
