"","Region","GFP_","Areamm2","Brainno","Fieldname","Age","Genotype"
"169","MZ",14,0.0545888632334953,"B4C","210915-B4-WT-S004-1","E16.5","Neto1+/+"
"170","SVZ",27,0.163084228910067,"B4C","210915-B4-WT-S004-1","E16.5","Neto1+/+"
"171","All",41,0.217673092143563,"B4C","210915-B4-WT-S004-1","E16.5","Neto1+/+"
"172","MZ",14,0.0597630837056272,"B4C","210915-B4-WT-S004-2","E16.5","Neto1+/+"
"173","SVZ",26,0.178569213963802,"B4C","210915-B4-WT-S004-2","E16.5","Neto1+/+"
"174","All",40,0.238332297669429,"B4C","210915-B4-WT-S004-2","E16.5","Neto1+/+"
"175","MZ",19,0.0697808099109765,"B4C","210915-B4-WT-S006","E16.5","Neto1+/+"
"176","SVZ",21,0.208459128341651,"B4C","210915-B4-WT-S006","E16.5","Neto1+/+"
"177","All",40,0.278239938252628,"B4C","210915-B4-WT-S006","E16.5","Neto1+/+"
"178","MZ",14,0.0615380590132194,"B4C","210915-B4-WT-S008","E16.5","Neto1+/+"
"179","SVZ",24,0.184614177039658,"B4C","210915-B4-WT-S008","E16.5","Neto1+/+"
"180","All",38,0.246152236052878,"B4C","210915-B4-WT-S008","E16.5","Neto1+/+"
"181","MZ",18,0.0770272303294719,"B4C","210915-B4-WT-S010","E16.5","Neto1+/+"
"182","SVZ",26,0.230118850609297,"B4C","210915-B4-WT-S010","E16.5","Neto1+/+"
"183","All",44,0.307146080938769,"B4C","210915-B4-WT-S010","E16.5","Neto1+/+"
"184","MZ",15,0.0666201817099574,"B4C","210915-B4-WT-S012","E16.5","Neto1+/+"
"185","SVZ",7,0.199860545129872,"B4C","210915-B4-WT-S012","E16.5","Neto1+/+"
"186","All",22,0.26648072683983,"B4C","210915-B4-WT-S012","E16.5","Neto1+/+"
"187","MZ",20,0.0683072455046736,"B4C","210915-B4-WT-S016","E16.5","Neto1+/+"
"188","SVZ",23,0.203992386235046,"B4C","210915-B4-WT-S016","E16.5","Neto1+/+"
"189","All",43,0.272299631739719,"B4C","210915-B4-WT-S016","E16.5","Neto1+/+"
"190","MZ",19,0.0633130343208116,"B4C","210915-B4-WT-S018","E16.5","Neto1+/+"
"191","SVZ",19,0.189939102962435,"B4C","210915-B4-WT-S018","E16.5","Neto1+/+"
"192","All",38,0.253252137283246,"B4C","210915-B4-WT-S018","E16.5","Neto1+/+"
"193","MZ",29,0.0650670783158143,"B4C","210915-B4-WT-S020","E16.5","Neto1+/+"
"194","SVZ",21,0.194372354968897,"B4C","210915-B4-WT-S020","E16.5","Neto1+/+"
"195","All",50,0.259439433284712,"B4C","210915-B4-WT-S020","E16.5","Neto1+/+"
"196","MZ",17,0.0491352097382932,"B4C","210915-B4-WT-S022-1","E16.5","Neto1+/+"
