"","cellcount","AreaMmsq","celltype","Layers","Brainno","imagename","Genotype","Age"
"68",2,0.33598,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"69",7,0.43166,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"70",4,0.58964,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"71",0,0.19581,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"72",45,0.45169,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"73",42,0.33598,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"74",19,0.43166,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"75",25,0.58964,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_005","Mafb-fl/+","P21"
"76",0,0.19018,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"77",20,0.43887,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"78",25,0.27168,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"79",56,0.4326,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"80",49,0.52874,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"81",0,0.19018,"RCE_CR","L1","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"82",11,0.43887,"RCE_CR","L23","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"83",2,0.27168,"RCE_CR","L4","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"84",1,0.4326,"RCE_CR","L5","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"85",2,0.52874,"RCE_CR","L6","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"86",3,0.19018,"CRnegRCE","L1","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"87",33,0.43887,"CRnegRCE","L23","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"88",18,0.27168,"CRnegRCE","L4","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"89",14,0.4326,"CRnegRCE","L5","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"90",25,0.52874,"CRnegRCE","L6","171215-M91-2B","171215-M83-2B-HET_006","Mafb-fl/+","P21"
"91",0,0.11368,"RCE","L1","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"92",20,0.35259,"RCE","L23","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"93",13,0.24384,"RCE","L4","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"94",47,0.31799,"RCE","L5","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
"95",47,0.52558,"RCE","L6","171215-M91-2B","171215-M83-2B-HET_007","Mafb-fl/+","P21"
